Supplier_Supplier_ID;Supplier_Supplier_name;Supplier_Supplier_adress;Supplier_Contact_name;Supplier_Contact_email;Store_Store_ID;Store_Store_name;Store_Store_adress;Store_Manager_name;Store_Manager_phone;Store_Manager_email;Product_Product_ID;Product_Product_name;Product_Store_ID;Product_Description;Product_Supplier_ID;Product_Unit;Product_Unit_price;Product_Shelf_life_days;Inventory_Inventory_ID;Inventory_Store_ID;Inventory_Product_ID;Inventory_Quantity;Inventory_Last_updated;Order_Order_ID;Order_Order_date;Order_Order_name;Order_Store_ID;Order_Supplier_ID;Order_Status;Order_Contact_name;Order_Contact_phone;Order_Contact_email;Order_Delivery_date_expected
SUP011;Гаврилець, Дерегус and Хмара;сквер Дорожня, буд. 46 кв. 7, Карлівка, 34069;пан Варфоломій Жайворон;fpavlyk@petryk.укр;S011;Данькевич-Черненко;парк Катерининська, буд. 1 кв. 9, Перевальськ, 54271;Лариса Нестеренко;919 49 75;jatamaniuk@havrylets-deineka.net;P011;Nobis;S087;Vel cupiditate fuga alias voluptate reprehenderit laboriosam.;SUP100;шт;133,91;229;I011;S095;P090;370;2025-04-10;O011;2025-01-26;praesentium;S076;SUP075;Виконано;пан Макар Архипенко;252-76-23;rkadeniuk@ukr.net;2025-02-24
SUP012;Зарудний-Лагода;набережна Нечипуренка, буд. 766 кв. 14, Ковель, 22866;Людмила Зубко;chumachenkoustym@gov.ua;S012;Зінченко-Міщенко;площа Совіньйонівський, буд. 9, Алмазна, 08988;пані Мілена Фартушняк;+38 094 190-74-44;pavlokonoplenko@aleksiichuk.com;P012;Amet;S095;Dignissimos ipsum eius possimus ea a hic.;SUP008;шт;112,71;285;I012;S095;P067;84;2025-02-23;O012;2025-04-05;error;S089;SUP048;Виконано;Андрій Ісаєнко;963 31 19;anastasiiachernenko@isaievych.com;2025-04-03
SUP013;Дробаха, Андрійович and Гаврилів;площа Педагогічний, буд. 8 кв. 369, Торецьк, 108245;Зиновій Гайдай;dankabaliuk@ruban-matviienko.net;S013;Гузь-Уманець;площа Закарпатська, буд. 2 кв. 79, Харків, 12147;Ярина Василашко;005 388-23-17;jieroshenko@tkachenko.укр;P013;Facere;S070;Voluptatibus magnam delectus sit soluta ea quasi ratione.;SUP030;л;12,8;364;I013;S086;P060;430;2025-04-25;O013;2025-01-17;labore;S081;SUP061;Скасовано;Гордій Влох;392-06-47;haievskyirozaliia@ukr.net;2025-04-18
SUP014;Бездітко-Дубина;сквер Естонський, буд. 3, Кролевець, 38919;Ірена Коваленко;frantspoltavets@gov.ua;S014;Ємець, Примаченко and Лаба;провулок Краснослобідський, буд. 409 кв. 7, Шепетівка, 73599;Валентин Александренко;209-06-82;bazavluchenkomaryna@i.ua;P014;Quos;S012;Libero laudantium similique eligendi reiciendis cumque omnis.;SUP005;шт;27,72;221;I014;S026;P007;239;2025-03-19;O014;2025-05-09;earum;S032;SUP071;Скасовано;Гордій Кальченко;+38 (041) 948-50-89;symonzabashta@baranyk.org;2025-05-09
SUP015;Дашенко Group;набережна Івана Микитенка, буд. 746, Сокаль, 02281;Максим Жученко;dmishchenko@shelest-rudko.укр;S015;Артюх, Данильчук and Єрмоленко;площа Байкал тупик, буд. 772 кв. 482, Краматорськ, 28809;Венедикт Дейсун;069 127-33-59;nazar81@gmail.com;P015;Odit;S076;Velit consectetur consequuntur itaque incidunt voluptatum nostrum.;SUP041;шт;153,18;290;I015;S047;P072;470;2025-05-07;O015;2025-03-06;praesentium;S014;SUP068;Очікується;Анастасія Ярема;+38 074 428-13-56;irena03@yizhakevych-bakumenko.ua;2025-04-01
SUP016;Вергун, Худобʼяк and Чуйко;набережна Десятого квітня, буд. 230, Лутугине, 17611;Марʼяна Асаула;klyment68@ukr.net;S016;Савенко, Акименко and Онуфрієнко;провулок Студентський 4-й, буд. 71 кв. 6, Іллінці, 64416;Едита Калениченко;808 23 48;xiaremkiv@bezborodky.com;P016;Laudantium;S055;Iste quo aliquid beatae.;SUP052;л;54,91;7;I016;S056;P032;65;2025-02-12;O016;2025-03-08;optio;S090;SUP045;Скасовано;Святослава Андрійчук;697-86-04;panaslesyk@gmail.com;2025-02-26
SUP017;Голик LLC;парк Льва Толстого, буд. 17 кв. 29, Самбір, 29894;пані Альбіна Прокопович;ihohol@meta.ua;S017;Терещук-Орлик;сквер Садовий, буд. 486 кв. 213, Жовква, 06789;Богуслава Чуйко;+38 010 171-52-64;lutsenkoheorhii@kozak.укр;P017;Totam;S005;Voluptatum possimus repellat amet error natus magni.;SUP035;кг;87,22;60;I017;S009;P016;318;2025-02-05;O017;2025-02-07;optio;S099;SUP055;Скасовано;Світлана Івасюк;996-85-89;trokhym39@email.ua;2025-01-02
SUP018;Демиденко-Притула;вулиця Селекційна, буд. 946, Перевальськ, 71585;Захар Яковенко;datsenkosemen@i.ua;S018;Яремко-Забарний;сквер Уютна, буд. 8 кв. 055, Погребище, 48327;Орина Козаченко;+38 (084) 383-90-29;martyn26@baklan.укр;P018;Neque;S004;Possimus nobis quam nisi earum perspiciatis.;SUP009;шт;101,46;41;I018;S086;P059;273;2025-02-10;O018;2025-01-03;ipsa;S039;SUP096;Очікується;Василина Асаула;072 384-73-77;veniiamynchupryna@i.ua;2025-05-08
SUP019;Малишко and Sons;провулок Платанова, буд. 0, Костянтинівка, 08050;Азар Теличенко;shvedchenkodavyd@sachenko.укр;S019;Вернигора LLC;узвіз Маланова, буд. 39, Голубівка, 06843;Вʼячеслав Артюшенко;+38 (071) 841-22-56;oles39@svyrydenko.com;P019;Culpa;S012;Sunt quaerat facilis minus totam velit.;SUP028;л;174,28;356;I019;S043;P018;13;2025-04-26;O019;2025-01-22;officiis;S088;SUP071;Очікується;Демʼян Швачка;+38 (075) 089-53-84;qnazarenko@email.ua;2025-01-23
SUP020;Гавриш and Sons;сквер Бабеля, буд. 36 кв. 45, Вижниця, 19770;Тереза Христенко;iaroslav20@arsenych-vlasenko.com;S020;Масляк-Лазаренко;набережна Тимірязєва, буд. 79 кв. 8, Южноукраїнськ, 26774;Степан Атаманюк;+38 (036) 919-21-24;jtsarenko@gmail.com;P020;Earum;S028;Magnam reprehenderit quasi sunt consequuntur laboriosam assumenda.;SUP073;шт;181,46;79;I020;S080;P060;464;2025-01-09;O020;2025-02-03;nihil;S077;SUP043;Скасовано;Семен Лубенець;650-53-00;sdurdynets@ukr.net;2025-02-21
SUP021;Шевченко Ltd;парк Маловського, буд. 40 кв. 8, Перечин, 45201;Василина Ткаченко;myroslav55@i.ua;S021;Зайченко, Батіг and Кибкало;шосе Лузанівський 1-й, буд. 005, Одеса, 62079;Світлана Рябець;295-97-96;iaroslav47@davymuka.net;P021;Cupiditate;S030;Illum pariatur architecto earum deserunt alias.;SUP092;шт;41,28;282;I021;S041;P086;201;2025-03-26;O021;2025-01-07;molestias;S016;SUP046;Очікується;Мілена Шиян;+38 050 160-62-63;boryslav74@vasylashko-havrylyshyn.ua;2025-02-15
SUP022;Ващенко-Захарченко-Джус;провулок Чорноморський 7-й, буд. 863, Новоазовськ, 08270;Богуслава Тесленко;les53@vasylashko.укр;S022;Калениченко, Овсієнко and Москаль;парк Радіальний, буд. 8 кв. 621, Золочів, 63539;Пилип Охримович;054 809-90-15;smyknataliia@email.ua;P022;Consequuntur;S065;Quas rerum ducimus distinctio temporibus.;SUP041;л;10,41;21;I022;S085;P068;303;2025-03-14;O022;2025-02-07;delectus;S073;SUP090;Виконано;Орися Аверченко;951-84-71;adam27@arsenych-zhuk.info;2025-05-02
SUP023;Кармалюк Inc;шосе Пржевальського, буд. 93, Прилуки, 35836;Петро Мамчур;andriichukiukhym@i.ua;S023;Пушкар-Тихий;шосе Лузанівський 1-й, буд. 1, Ясинувата, 105579;Феофан Хомик;+38 (051) 746-04-83;danna41@danyliuk-neporozhnii.info;P023;Numquam;S078;Fugiat tenetur blanditiis reiciendis.;SUP028;кг;84,18;192;I023;S016;P072;288;2025-01-02;O023;2025-02-16;blanditiis;S006;SUP059;Скасовано;Ярослава Шутько;081 671-60-76;mykhailyna62@gmail.com;2025-02-03
SUP024;Лемешко, Голобородько and Андрійчук;площа Василя Кандинського 4-й, буд. 4 кв. 15, Жовква, 82657;Олекса Забіла;drobakhaleonid@dubas.net;S024;Радченко, Засенко and Деркач;вулиця Ростовська, буд. 5, Пологи , 27709;Юстим Сацюк;+38 (053) 856-05-56;ievdokymenkohlib@gov.ua;P024;Labore;S004;Ducimus quod labore illum consequatur assumenda consequatur.;SUP084;л;186,04;301;I024;S093;P077;339;2025-03-07;O024;2025-04-07;fuga;S045;SUP035;Очікується;Августин Бабенко;+38 093 767 77 20;mykytatsymbaliuk@meta.ua;2025-03-29
SUP025;Артимишин-Дрозд;вулиця Бодаревського, буд. 426, Черкаси, 99615;Омелян Доценко;parmen40@gmail.com;S025;Бандера, Фоменко and Дзюба;провулок Дунаєвського 3-й, буд. 5 кв. 2, Рожище, 74554;Симон Охріменко;023 506-21-24;marusiadevdiuk@miroshnychenko.ua;P025;Occaecati;S072;Magni quo maiores assumenda placeat ex rem.;SUP064;шт;159,17;285;I025;S039;P041;13;2025-01-10;O025;2025-02-08;minus;S069;SUP040;Очікується;Марія Александренко;+38 088 262-00-68;mykhailychenkoedyta@lubenets.ua;2025-04-09
SUP026;Шинкаренко, Редько and Саєнко;сквер Чорноморський 4-й, буд. 55, Білгород-Дністровський, 59405;Лесь Андріїшин;odarkasvyrydenko@email.ua;S026;Хмара-Луценко;вулиця Івана Вазова, буд. 3 кв. 01, Пологи , 01882;Феофан Юрчишин;627 40 71;albinavanchenko@vakhnii.org;P026;Dolor;S026;Provident dicta atque repellat amet.;SUP051;кг;64,2;78;I026;S065;P097;42;2025-02-06;O026;2025-05-05;ratione;S055;SUP033;Очікується;Богодар Бандера;+38 (014) 645-97-65;iaroslavdrozd@shablii.укр;2025-03-17
SUP027;Їжакевич-Ґерус;провулок Міцкевича, буд. 97, Часів Яр, 14563;Богуслава Бабко;mderhach@okhrymovych.ua;S027;Матяш PLC;сквер Героїв Крут, буд. 4, Звенигородка, 28194;Ліза Пушкар;028 632 47 86;iaroslavatkachenko@andriienko-umanets.org;P027;Sit;S092;Cupiditate culpa ab delectus.;SUP083;л;142,35;223;I027;S040;P057;329;2025-03-17;O027;2025-01-03;deserunt;S085;SUP030;Очікується;Віолетта Свириденко;473 66 89;hiermolenko@email.ua;2025-02-01
SUP028;Данчук PLC;вулиця Садова 4-та, буд. 992, Кіцмань, 47152;Варфоломій Данчук;iaroslavarudyk@i.ua;S028;Ващенко-Закусило;узвіз Лінія 44-та, буд. 3 кв. 90, Комарно, 44330;Ірена Вовк;+38 (055) 200-40-49;iustyna52@gov.ua;P028;Debitis;S084;Est voluptates voluptatum quam.;SUP059;л;148,8;68;I028;S086;P079;219;2025-02-27;O028;2025-02-08;alias;S048;SUP016;Скасовано;пані Анастасія Савенко;066 619-88-96;oleksazhuravel@email.ua;2025-02-14
SUP029;Байдак Inc;набережна Флотський 4-й, буд. 23 кв. 06, Амвросіївка, 104095;Христина Піддубний;orkhypchervonenko@ukr.net;S029;Голик Inc;сквер Міцкевича, буд. 4 кв. 28, Васильків, 105197;Панас Єременко;168 69 07;petrenkobohodar@babii.укр;P029;Sapiente;S090;Harum porro magni quo.;SUP019;кг;158,84;24;I029;S053;P093;69;2025-01-12;O029;2025-04-04;accusantium;S009;SUP093;Очікується;пані Марта Сагаль;041-98-00;baidakoryna@meta.ua;2025-01-05
SUP030;Жайворон, Шеремета and Байда;узвіз Художника Федорова, буд. 4 кв. 4, Яготин, 82414;Ярослава Салій;xhrechko@ukr.net;S030;Архимович-Гунько;сквер Ціолковського, буд. 7 кв. 52, Радомишль, 47301;Омелян Гавриш;+38 037 177-43-49;sviatoslavhunko@gmail.com;P030;Sint;S070;Eos vel officia nulla nobis mollitia.;SUP034;шт;135,76;160;I030;S042;P065;443;2025-04-20;O030;2025-04-24;voluptas;S065;SUP025;Очікується;Левко Батіг;160 69 90;haivoronskyiviktoriia@ovcharenko.org;2025-01-13
SUP031;Башполченко, Михайличенко and Килимник;площа Кутузова, буд. 916, Кременець, 89701;Олекса Цушко;anzhela41@gmail.com;S031;Рябошапка, Гуцуляк and Ірванець;узвіз Гаршина, буд. 2, Новоселиця, 49051;Златослава Іщенко;+38 (068) 533-93-00;htsybulenko@email.ua;P031;Placeat;S054;Ullam culpa debitis eaque.;SUP018;л;102,47;189;I031;S052;P055;236;2025-03-13;O031;2025-03-11;occaecati;S083;SUP041;Очікується;Ярина Засядько;+38 (049) 602-30-06;neporozhniispas@gov.ua;2025-04-03
SUP032;Мазепа, Дейнека and Жук;узвіз Трояндова, буд. 4 кв. 42, Баранівка, 89831;Амалія Архипенко;vasylyna36@email.ua;S032;Гоголь, Акуленко and Баштан;вулиця Оранжерейний, буд. 832, Бахмут, 75789;Онисим Андрієвич;+38 018 668-94-36;kyrylodrobakha@yurchenko-kabanenko.укр;P032;Minus;S029;Atque quo veritatis cupiditate impedit odio odio.;SUP032;л;46,08;23;I032;S090;P071;93;2025-01-21;O032;2025-04-22;a;S044;SUP016;Виконано;Оксана Фоменко;+38 097 535-80-26;usykanzhela@meta.ua;2025-04-10
SUP033;Товстоліс-Жадан;набережна Морський 2-й, буд. 186 кв. 347, Часів Яр, 64625;Мирослав Редько;filipenkoarkadii@poltavets.ua;S033;Оліфіренко, Лесик and Щириця;вулиця Слобідська, буд. 6, Червоноград, 68233;пан Станіслав Гузь;+38 080 478-96-13;vadym76@bazavluchenko.com;P033;Distinctio;S058;Recusandae assumenda aliquid alias id amet aliquid.;SUP096;л;51,36;186;I033;S038;P058;25;2025-04-27;O033;2025-04-13;eius;S002;SUP096;Виконано;Михайлина Зайченко;122-38-38;ihordzhun@valenko.com;2025-01-01
SUP034;Шевченко and Sons;вулиця Успенський, буд. 419, Чуднів, 35387;Левко Ткач;nkozachenko@vasylevych-tereshchuk.ua;S034;Проценко, Філіпенко and Гречко;проспект Мариністів, буд. 06, Кам'янське, 74403;Зорян Вакуленко;233 04 31;odarkaoberemko@okhrimenko.info;P034;Laboriosam;S076;Voluptatum quisquam illum.;SUP072;шт;21,11;110;I034;S071;P021;133;2025-01-15;O034;2025-05-06;ad;S054;SUP069;Скасовано;Аліна Чорновіл;068 488-28-80;huziipavlo@romanchuk.ua;2025-03-24
SUP035;Гайда, Василечко and Устенко;парк Гімназична, буд. 4 кв. 389, Мирноград, 63817;Зиновій Дараган;volodymyrdziuba@ishchak.info;S035;Полтавець Ltd;узвіз Нафтовиків 3-й, буд. 212, Новий Буг, 71976;Віра Філіпенко;006 679-40-62;xtereshchuk@yizhak.info;P035;Pariatur;S036;Tenetur quo aliquid.;SUP069;л;149,79;352;I035;S017;P096;194;2025-04-20;O035;2025-05-11;voluptate;S063;SUP098;Скасовано;Георгій Жайворон;+38 044 092-11-32;oles75@gov.ua;2025-03-30
SUP036;Годунок, Їжакевич and Терещенко;парк Поїзна, буд. 1, Дубровиця, 18501;Камілла Безбородько;iaremacharnysh@babiuk.com;S036;Вишиваний-Малишко;парк Академіка Вільямса, буд. 54 кв. 86, Бахмут, 73155;Валентин Ткач;059 798 20 68;wskyba@email.ua;P036;Deleniti;S001;Beatae perferendis consectetur dolorem magni eligendi.;SUP034;кг;21,58;130;I036;S025;P061;167;2025-01-08;O036;2025-05-09;illo;S014;SUP089;Виконано;Миколай Шаблій;985 63 07;alevtyn35@chalenko-gzhytskyi.org;2025-03-10
SUP037;Базилевський, Коваленко and Конопля;сквер Польовий 1-й, буд. 0, Очаків, 82462;Теодор Акименко;ogereta@yatsenko.net;S037;Авраменко-Артимович;шосе Брестська, буд. 35 кв. 56, Ізмаїл, 73412;Григорій Яценко;527-61-45;opanas20@dankiv.org;P037;Repudiandae;S098;Cum praesentium cum illo possimus.;SUP096;кг;69,58;344;I037;S054;P058;108;2025-02-11;O037;2025-02-23;provident;S056;SUP024;Виконано;Тимофій Адаменко;+38 051 290-96-43;odarka16@tovstolis.ua;2025-03-28
SUP038;Ющенко-Шведченко;набережна Кінна, буд. 91 кв. 88, Хмільник, 84186;Лариса Ковпак;varvarashchyrytsia@matviienko.укр;S038;Конопля, Карпенко and Власюк;узвіз Пiвденний, буд. 8 кв. 88, Скадовськ, 75226;Аркадій Юрчук;+38 004 573-05-72;svitlanaiaremko@meta.ua;P038;Nisi;S021;Repellendus explicabo esse quaerat.;SUP075;л;19,53;55;I038;S086;P034;232;2025-03-22;O038;2025-03-15;aspernatur;S047;SUP025;Очікується;Еріка Шеремет;+38 094 148-30-28;zharkozorian@gmail.com;2025-03-03
SUP039;Алексеєнко-Яремків;вулиця Кедровий, буд. 53, Лебедин, 34000;Леонтій Скопенко;ielysaveta66@tiahnybok-danyliuk.com;S039;Рудько LLC;парк Ялинковий, буд. 69 кв. 137, Монастириська, 96224;Віра Ґалаґан;+38 (072) 505-93-49;orysia55@fastenko-zatula.info;P039;Autem;S090;Et quisquam a pariatur repellat dignissimos.;SUP055;л;100,59;184;I039;S049;P097;167;2025-04-08;O039;2025-04-23;id;S082;SUP028;Очікується;Володимира Бакуменко;+38 011 153-92-46;kamilla99@yerchenko.net;2025-01-01
SUP040;Мірошниченко Group;проспект Чорноморка, буд. 635, Буськ, 62454;Гаврило Ващенко-Захарченко;hordii23@chornovil.ua;S040;Пушкар-Бандурка;узвіз Танкерна, буд. 4 кв. 5, Олешки, 18591;Дмитро Матяш;015 741 67 09;zlatoslava30@gov.ua;P040;Aliquam;S055;In fuga omnis rem error.;SUP075;кг;184,68;289;I040;S087;P032;172;2025-05-05;O040;2025-02-28;ab;S059;SUP095;Виконано;Олександр Забіла;+38 021 145 29 67;tetianamakarenko@stus.org;2025-01-08
SUP041;Шамрай Group;провулок Толбухіна, буд. 740, Радомишль, 56164;Дарина Уманець;olifirenkooleksa@nikoliuk.com;S041;Цимбалюк, Романенко and Савенко;проспект Тимірязєва 5-й, буд. 1, Новий Буг, 51288;Феофан Зубко;097 339-39-61;stanislav89@tsiutsiura-teslia.ua;P041;Dolor;S044;Nihil nisi tenetur.;SUP052;кг;110,91;211;I041;S096;P082;389;2025-04-15;O041;2025-04-15;placeat;S091;SUP062;Скасовано;Ірена Яремчук;081 649 08 90;stepandemianchuk@chalenko-tsybulenko.ua;2025-01-04
SUP042;Чарниш and Sons;шосе Ковалевського узвіз, буд. 7, Ізяслав, 81444;Роман Гайдай;khoma73@oliinyk.org;S042;Луценко Ltd;набережна 11-та ст. Великого Фонтану пляж, буд. 08 кв. 705, Гірник , 19782;Еріка Пʼятаченко;+38 042 881-84-62;btkach@ukr.net;P042;Illo;S036;Accusamus labore veritatis aperiam architecto.;SUP047;л;20,81;320;I042;S023;P036;450;2025-02-20;O042;2025-03-18;nisi;S020;SUP036;Виконано;пан Єфрем Тимченко;+38 015 733-01-66;mmalyshko@gov.ua;2025-02-15
SUP043;Притула PLC;площа 411-ї батареї, буд. 951, Очаків, 102643;Симон Єрмоленко;turkaloorest@aleksandrenko-symonenko.укр;S043;Титаренко-Баклан;проспект Скрипковий, буд. 54, Волочиськ, 65412;Борислав Фурс;+38 009 933-74-32;cherednykamvrosii@isaievych.org;P043;Ad;S020;Dolor quisquam aut doloribus suscipit labore.;SUP029;кг;106,49;82;I043;S079;P099;194;2025-03-03;O043;2025-01-01;dolorum;S056;SUP093;Скасовано;Іван Сич;+38 (046) 061-88-81;lshmorhun@meta.ua;2025-01-17
SUP044;Юхименко, Скопенко and Ільченко;шосе Дніпропетровська дорога, буд. 63 кв. 94, Почаїв, 03433;Борис Павленко;shyianieva@i.ua;S044;Хоменко, Дерегус and Влох;проспект Посмітного, буд. 2, Нова Каховка, 103930;Володимира Валенко;+38 096 093-81-15;hrechkooleh@gmail.com;P044;Animi;S028;Asperiores eum dolore ex quae pariatur.;SUP018;шт;171,76;124;I044;S073;P100;142;2025-04-11;O044;2025-04-29;eligendi;S023;SUP076;Виконано;Вадим Дергач;+38 013 872-94-06;zakharvakarchuk@gmail.com;2025-04-27
SUP045;Яремко, Вдовенко and Охріменко;набережна Травневий 1-й, буд. 96, Алчевськ, 105823;Едуард Канівець;aaron69@i.ua;S045;Асаула LLC;провулок Буніна, буд. 970, Берестечко, 37755;Маруся Бакуменко;+38 045 075-67-06;kshvaika@gmail.com;P045;Similique;S098;Exercitationem hic adipisci velit consequatur sint.;SUP066;шт;23,02;86;I045;S039;P067;385;2025-04-26;O045;2025-02-15;illum;S094;SUP098;Очікується;Віолетта Панчук;075 468-41-73;lubenetshryhorii@datsenko.net;2025-01-04
SUP046;Шовкопляс, Туркало and Яремчук;провулок Йосипа Тимченка, буд. 5, Могилів-Подільський, 57301;Пилип Демʼянюк;alla51@meta.ua;S046;Симоненко Group;шосе Наявний 3-й, буд. 6, Городня, 03824;Пармен Ващенко-Захарченко;+38 094 737-67-81;larysa07@lupii.info;P046;Aliquid;S044;Nesciunt fugiat autem.;SUP064;шт;22,91;93;I046;S052;P063;487;2025-02-20;O046;2025-01-05;dolores;S067;SUP068;Скасовано;Леон Баранник;+38 018 931-87-12;eduardiakymenko@svyrydenko.ua;2025-03-01
